Manufacturer,Model,is_premium
AUDI,100,1
AUDI,50,1
AUDI,A3,1
AUDI,A3 4X4,1
AUDI,A3 PREMIUM,1
AUDI,A4,1
AUDI,A4 B5,1
AUDI,A4 B6,1
AUDI,A4 B7,1
AUDI,A4 S line,1
AUDI,A4 S4,1
AUDI,A4 Sline,1
AUDI,A4 premium,1
AUDI,A4 premium plius,1
AUDI,A5,1
AUDI,A5 Sportback,1
AUDI,A6,1
AUDI,A6 C7,1
AUDI,A6 QUATTRO,1
AUDI,A6 UNIVERSAL,1
AUDI,A6 evropuli,1
AUDI,A6 premium plus,1
AUDI,A6 С6,1
AUDI,A7,1
AUDI,A7 Prestige,1
AUDI,A8,1
AUDI,Allroad,1
AUDI,Allroad Allroad,1
AUDI,Q3,1
AUDI,Q5,1
AUDI,Q5 Prestige,1
AUDI,Q5 S-line,1
AUDI,Q7,1
AUDI,Q7 sport,1
AUDI,RS6,1
AUDI,RS7,1
AUDI,S3,1
AUDI,S6,1
AUDI,TT,1
BMW,114,1
BMW,116,1
BMW,118,1
BMW,"118 2,0",1
BMW,118 M-sport LCI,1
BMW,120,1
BMW,128,1
BMW,128 M tech,1
BMW,130,1
BMW,135,1
BMW,225,1
BMW,3.18E+38,1
BMW,3.20E+38,1
BMW,3.25E+48,1
BMW,316,1
BMW,316 1995,1
BMW,316 i,1
BMW,318,1
BMW,318 318,1
BMW,318 m,1
BMW,318 რესტაილინგი,1
BMW,318 სასწრაფოდ,1
BMW,320,1
BMW,320 2.0,1
BMW,320 2.2,1
BMW,320 320,1
BMW,320 DIESEL,1
BMW,320 Diesel,1
BMW,320 Gran Turismo,1
BMW,320 I,1
BMW,320 M,1
BMW,320 i,1
BMW,323,1
BMW,325,1
BMW,325 CI,1
BMW,325 XI,1
BMW,325 i,1
BMW,328,1
BMW,328 DIZEL,1
BMW,328 DRIFT CAR,1
BMW,328 Xdrive,1
BMW,328 i,1
BMW,328 sulev,1
BMW,330,1
BMW,335,1
BMW,335 335i,1
BMW,335 D,1
BMW,335 M paket,1
BMW,335 ტურბო,1
BMW,340,1
BMW,420,1
BMW,428,1
BMW,428 Sport Line,1
BMW,428 i,1
BMW,435,1
BMW,435 CUPE,1
BMW,5.30E+62,1
BMW,520,1
BMW,520 I,1
BMW,520 Vanos,1
BMW,520 d xDrive Luxury,1
BMW,523,1
BMW,525,1
BMW,525 ///M,1
BMW,525 525,1
BMW,525 TDI,1
BMW,525 Vanos,1
BMW,525 i,1
BMW,528,1
BMW,528 3.0,1
BMW,528 i,1
BMW,530,1
BMW,530 525i,1
BMW,530 G30,1
BMW,530 GT,1
BMW,530 I,1
BMW,530 M,1
BMW,530 i,1
BMW,535,1
BMW,535 535,1
BMW,535 Diesel,1
BMW,535 I,1
BMW,535 M,1
BMW,535 M PAKET,1
BMW,535 Twinturbo,1
BMW,535 XI,1
BMW,535 comfort-sport,1
BMW,535 i,1
BMW,535 i xDrive,1
BMW,540 I,1
BMW,545,1
BMW,550,1
BMW,550 F10,1
BMW,550 GT,1
BMW,550 M Packet,1
BMW,630,1
BMW,635,1
BMW,640,1
BMW,640 GRAN-COUPE,1
BMW,640 M,1
BMW,645,1
BMW,645 CI,1
BMW,650,1
BMW,650 450 HP,1
BMW,7.30E+34,1
BMW,730,1
BMW,730 3.0,1
BMW,735,1
BMW,740,1
BMW,740 i,1
BMW,745,1
BMW,745 i,1
BMW,750,1
BMW,750 4.8,1
BMW,M3,1
BMW,M4,1
BMW,M4 Competition,1
BMW,M5,1
BMW,M5 Japan,1
BMW,M5 Машина в максимально,1
BMW,M550,1
BMW,M6,1
BMW,M6 Gran cupe,1
BMW,X1,1
BMW,X1 28Xdrive,1
BMW,X1 4X4,1
BMW,X1 X-Drive,1
BMW,X3,1
BMW,X3 3.5i,1
BMW,X3 SDRIVE,1
BMW,X4,1
BMW,X5,1
BMW,X5 3.0,1
BMW,X5 3.0i,1
BMW,X5 3.5,1
BMW,X5 35d,1
BMW,"X5 4,4i",1
BMW,X5 4.8is,1
BMW,X5 DIESEL,1
BMW,X5 E70,1
BMW,X5 Japan,1
BMW,X5 M,1
BMW,X5 M packet,1
BMW,X5 Sport,1
BMW,X5 X-Drive,1
BMW,X5 XDRIVE,1
BMW,X5 XDRIVE 35D,1
BMW,X5 e53,1
BMW,X5 rest,1
BMW,X5 restilling,1
BMW,X5 x5,1
BMW,X6,1
BMW,X6 40D,1
BMW,X6 GERMANY,1
BMW,X6 Limited,1
BMW,X6 M,1
BMW,Z4,1
BMW,"Z4 3,0 SI",1
BMW,i3,1
LEXUS,CT 200h,1
LEXUS,CT 200h 1.8,1
LEXUS,CT 200h F SPORT,1
LEXUS,CT 200h F sport,1
LEXUS,CT 200h F-sport,1
LEXUS,ES 300,1
LEXUS,ES 300 hybrid,1
LEXUS,ES 350,1
LEXUS,GS 300,1
LEXUS,GS 350,1
LEXUS,GS 450,1
LEXUS,GX 460,1
LEXUS,GX 470,1
LEXUS,GX 470 470,1
LEXUS,GX 470 SUV 4D (4.7L V8 S,1
LEXUS,HS 250h,1
LEXUS,HS 250h Hybrid,1
LEXUS,IS 200,1
LEXUS,IS 250,1
LEXUS,IS 250 TURBO,1
LEXUS,IS 250 რესტაილინგი,1
LEXUS,IS 300,1
LEXUS,IS 350,1
LEXUS,IS 350 C,1
LEXUS,IS-F,1
LEXUS,LS 460,1
LEXUS,LX 470,1
LEXUS,LX 570,1
LEXUS,NX 200,1
LEXUS,NX 300,1
LEXUS,RC F,1
LEXUS,RC F F SPORT,1
LEXUS,RX 300,1
LEXUS,RX 350,1
LEXUS,RX 350 F sport,1
LEXUS,RX 400,1
LEXUS,RX 400 H,1
LEXUS,RX 400 HYBRID,1
LEXUS,RX 400 RESTAILING,1
LEXUS,RX 400 hybrid,1
LEXUS,RX 450,1
LEXUS,RX 450 F SPORT,1
LEXUS,RX 450 H,1
LEXUS,RX 450 HYBRID,1
MERCEDES-BENZ,190,1
MERCEDES-BENZ,200,1
MERCEDES-BENZ,208,1
MERCEDES-BENZ,220,1
MERCEDES-BENZ,230,1
MERCEDES-BENZ,230 W153,1
MERCEDES-BENZ,240,1
MERCEDES-BENZ,250,1
MERCEDES-BENZ,270,1
MERCEDES-BENZ,280,1
MERCEDES-BENZ,290,1
MERCEDES-BENZ,300,1
MERCEDES-BENZ,311,1
MERCEDES-BENZ,320,1
MERCEDES-BENZ,416,1
MERCEDES-BENZ,A 140,1
MERCEDES-BENZ,A 140 140,1
MERCEDES-BENZ,A 160,1
MERCEDES-BENZ,A 170,1
MERCEDES-BENZ,A 170 Avangard,1
MERCEDES-BENZ,A 170 CDI,1
MERCEDES-BENZ,A 190,1
MERCEDES-BENZ,A 200,1
MERCEDES-BENZ,AMG GT S,1
MERCEDES-BENZ,B 170,1
MERCEDES-BENZ,B 170 B Class,1
MERCEDES-BENZ,B 170 Edition One,1
MERCEDES-BENZ,B 180,1
MERCEDES-BENZ,B 200,1
MERCEDES-BENZ,B 200 Turbo,1
MERCEDES-BENZ,B 220,1
MERCEDES-BENZ,C 180,1
MERCEDES-BENZ,C 180 2.0,1
MERCEDES-BENZ,C 180 komp,1
MERCEDES-BENZ,C 200,1
MERCEDES-BENZ,C 200 2.0,1
MERCEDES-BENZ,C 200 7G-TRONIC,1
MERCEDES-BENZ,C 200 KOMPRESSOR,1
MERCEDES-BENZ,C 200 Kompressor,1
MERCEDES-BENZ,C 220,1
MERCEDES-BENZ,C 220 CDI,1
MERCEDES-BENZ,C 230,1
MERCEDES-BENZ,C 230 2.0 kompresor,1
MERCEDES-BENZ,C 230 2.5,1
MERCEDES-BENZ,C 230 kompresor,1
MERCEDES-BENZ,C 240,1
MERCEDES-BENZ,C 240 W 203,1
MERCEDES-BENZ,C 240 w203,1
MERCEDES-BENZ,C 250,1
MERCEDES-BENZ,"C 250 1,8 turbo",1
MERCEDES-BENZ,C 250 1.8,1
MERCEDES-BENZ,C 250 1.8 ტურბო,1
MERCEDES-BENZ,C 250 A.M.G,1
MERCEDES-BENZ,C 250 AMG,1
MERCEDES-BENZ,"C 250 AMG-PAKET-1,8",1
MERCEDES-BENZ,C 250 luxury,1
MERCEDES-BENZ,C 270,1
MERCEDES-BENZ,C 280,1
MERCEDES-BENZ,C 300,1
MERCEDES-BENZ,C 300 4matic,1
MERCEDES-BENZ,C 300 6.3 AMG Package,1
MERCEDES-BENZ,C 300 sport,1
MERCEDES-BENZ,C 32 AMG,1
MERCEDES-BENZ,C 320,1
MERCEDES-BENZ,C 320 AMG,1
MERCEDES-BENZ,C 320 CDI,1
MERCEDES-BENZ,C 350,1
MERCEDES-BENZ,C 36 AMG,1
MERCEDES-BENZ,C 400,1
MERCEDES-BENZ,C 43 AMG,1
MERCEDES-BENZ,C 63 AMG,1
MERCEDES-BENZ,CL 500,1
MERCEDES-BENZ,CL 55 AMG KOMPRESSOR,1
MERCEDES-BENZ,CL 550,1
MERCEDES-BENZ,CL 600,1
MERCEDES-BENZ,CL550 AMG,1
MERCEDES-BENZ,CLA 250,1
MERCEDES-BENZ,CLA 250 AMG,1
MERCEDES-BENZ,CLA 45 AMG,1
MERCEDES-BENZ,CLK 200,1
MERCEDES-BENZ,CLK 200 200,1
MERCEDES-BENZ,CLK 200 208,1
MERCEDES-BENZ,CLK 200 Kompressor,1
MERCEDES-BENZ,CLK 200 kompresor,1
MERCEDES-BENZ,CLK 230,1
MERCEDES-BENZ,CLK 230 .,1
MERCEDES-BENZ,CLK 240,1
MERCEDES-BENZ,CLK 270,1
MERCEDES-BENZ,CLK 280,1
MERCEDES-BENZ,CLK 320,1
MERCEDES-BENZ,CLK 320 AMG,1
MERCEDES-BENZ,CLK 320 avangarde,1
MERCEDES-BENZ,CLK 350,1
MERCEDES-BENZ,CLK 430,1
MERCEDES-BENZ,CLK 55 AMG,1
MERCEDES-BENZ,CLS 350,1
MERCEDES-BENZ,CLS 350 AMG,1
MERCEDES-BENZ,CLS 350 JAPAN,1
MERCEDES-BENZ,CLS 450 CLS 400,1
MERCEDES-BENZ,CLS 500,1
MERCEDES-BENZ,CLS 55 AMG,1
MERCEDES-BENZ,CLS 550,1
MERCEDES-BENZ,CLS 550 550,1
MERCEDES-BENZ,CLS 63 AMG,1
MERCEDES-BENZ,Citan,1
MERCEDES-BENZ,E 200,1
MERCEDES-BENZ,E 200 2000,1
MERCEDES-BENZ,E 200 CGI,1
MERCEDES-BENZ,E 200 w210,1
MERCEDES-BENZ,E 220,1
MERCEDES-BENZ,E 220 211,1
MERCEDES-BENZ,E 220 CDI,1
MERCEDES-BENZ,E 220 ELEGANCE,1
MERCEDES-BENZ,E 220 W210...CDI,1
MERCEDES-BENZ,E 220 cdi,1
MERCEDES-BENZ,E 230,1
MERCEDES-BENZ,E 230 124,1
MERCEDES-BENZ,E 240,1
MERCEDES-BENZ,E 240 E 240,1
MERCEDES-BENZ,E 250,1
MERCEDES-BENZ,E 260,1
MERCEDES-BENZ,E 270,1
MERCEDES-BENZ,E 270 4,1
MERCEDES-BENZ,E 270 AVANGARDI,1
MERCEDES-BENZ,E 270 CDI,1
MERCEDES-BENZ,E 280,1
MERCEDES-BENZ,E 280 3.0,1
MERCEDES-BENZ,E 280 CDI,1
MERCEDES-BENZ,E 290,1
MERCEDES-BENZ,E 300,1
MERCEDES-BENZ,E 300 AVANTGARDE-LTD,1
MERCEDES-BENZ,E 320,1
MERCEDES-BENZ,E 320 4matic,1
MERCEDES-BENZ,E 320 4×4,1
MERCEDES-BENZ,E 320 bluetec,1
MERCEDES-BENZ,E 350,1
MERCEDES-BENZ,E 350 212,1
MERCEDES-BENZ,E 350 4 MATIC,1
MERCEDES-BENZ,E 350 4 Matic AMG Packag,1
MERCEDES-BENZ,E 350 4 matic,1
MERCEDES-BENZ,E 350 AMG,1
MERCEDES-BENZ,E 350 w211,1
MERCEDES-BENZ,E 350 ამგ,1
MERCEDES-BENZ,E 36 AMG,1
MERCEDES-BENZ,E 400,1
MERCEDES-BENZ,E 420,1
MERCEDES-BENZ,E 430,1
MERCEDES-BENZ,E 50,1
MERCEDES-BENZ,E 500,1
MERCEDES-BENZ,E 500 AMG,1
MERCEDES-BENZ,E 500 AVG,1
MERCEDES-BENZ,E 55,1
MERCEDES-BENZ,E 550,1
MERCEDES-BENZ,G 230 2.2cdi,1
MERCEDES-BENZ,G 300,1
MERCEDES-BENZ,G 320,1
MERCEDES-BENZ,G 350,1
MERCEDES-BENZ,G 55 AMG,1
MERCEDES-BENZ,G 550,1
MERCEDES-BENZ,G 63 AMG,1
MERCEDES-BENZ,G 65 AMG 63AMG,1
MERCEDES-BENZ,G 65 AMG G63 AMG,1
MERCEDES-BENZ,GL 320,1
MERCEDES-BENZ,GL 320 bluetec,1
MERCEDES-BENZ,GL 350,1
MERCEDES-BENZ,GL 350 BLUETEC,1
MERCEDES-BENZ,GL 350 BLUTEC,1
MERCEDES-BENZ,GL 350 Bluetec,1
MERCEDES-BENZ,GL 350 დიზელი,1
MERCEDES-BENZ,GL 450,1
MERCEDES-BENZ,GL 450 3.0,1
